codice_cliente,lat,lon,network_type,graph_ok_r100,node_density_per_km2_r100,edge_density_per_km2_r100,avg_degree_r100,culdesac_ratio_r100,intersection_ratio_deg_ge_3_r100,intersection_density_deg_ge_3_per_km2_r100,total_street_length_m_r100,street_length_density_km_per_km2_r100,avg_edge_length_m_r100,n_connected_components_r100,largest_component_ratio_r100,km_motorway_r100,dist_motorway_m_r100,km_trunk_r100,dist_trunk_m_r100,km_primary_r100,dist_primary_m_r100,km_secondary_r100,dist_secondary_m_r100,km_tertiary_r100,dist_tertiary_m_r100,km_residential_r100,dist_residential_m_r100,km_service_r100,dist_service_m_r100,km_unclassified_r100,dist_unclassified_m_r100,km_living_street_r100,dist_living_street_m_r100,graph_ok_r300,node_density_per_km2_r300,edge_density_per_km2_r300,avg_degree_r300,culdesac_ratio_r300,intersection_ratio_deg_ge_3_r300,intersection_density_deg_ge_3_per_km2_r300,total_street_length_m_r300,street_length_density_km_per_km2_r300,avg_edge_length_m_r300,n_connected_components_r300,largest_component_ratio_r300,km_motorway_r300,dist_motorway_m_r300,km_trunk_r300,dist_trunk_m_r300,km_primary_r300,dist_primary_m_r300,km_secondary_r300,dist_secondary_m_r300,km_tertiary_r300,dist_tertiary_m_r300,km_residential_r300,dist_residential_m_r300,km_service_r300,dist_service_m_r300,km_unclassified_r300,dist_unclassified_m_r300,km_living_street_r300,dist_living_street_m_r300,graph_ok_r500,node_density_per_km2_r500,edge_density_per_km2_r500,avg_degree_r500,culdesac_ratio_r500,intersection_ratio_deg_ge_3_r500,intersection_density_deg_ge_3_per_km2_r500,total_street_length_m_r500,street_length_density_km_per_km2_r500,avg_edge_length_m_r500,n_connected_components_r500,largest_component_ratio_r500,km_motorway_r500,dist_motorway_m_r500,km_trunk_r500,dist_trunk_m_r500,km_primary_r500,dist_primary_m_r500,km_secondary_r500,dist_secondary_m_r500,km_tertiary_r500,dist_tertiary_m_r500,km_residential_r500,dist_residential_m_r500,km_service_r500,dist_service_m_r500,km_unclassified_r500,dist_unclassified_m_r500,km_living_street_r500,dist_living_street_m_r500,landuse_mode_r500,has_police_r500,has_carabinieri_r500,has_fire_station_r500,has_place_of_worship_r500,has_school_university_r500,has_hospital_clinic_r500,has_pharmacy_r500,has_bank_atm_r500,has_bar_pub_r500,has_nightlife_r500,has_restaurant_r500,has_parking_r500,has_station_r500,has_commercial_r500,error,n_polizze,premi_tot,n_sinistri,importo_liquidato,first_date,last_date,loss_ratio_cliente,frequenza_cliente,severita_cliente
10064,40.7480112,14.59413,drive,1.0,286.4788975654116,318.30988618379064,2.2222222222222223,0.4444444444444444,0.5555555555555556,159.15494309189532,1139.389479903297,36.26789356670268,113.9389479903297,1.0,1.0,0.0,,0.0,,1.1349119518761135,11.69852212299105,0.0,,0.1781999134505312,51.92818119971989,0.1623084100477375,64.68015995557901,0.7207722187364121,40.54748566628421,0.0,,0.0,,1.0,106.10329539459688,127.32395447351628,2.4,0.3333333333333333,0.6666666666666666,70.73553026306459,4564.391500989975,16.14323265753756,126.78865280527708,1.0,1.0,0.0,,0.0,,1.6798265942493305,11.69852212299105,0.0,,1.638637789416889,51.92818119971989,1.9586133618841843,64.68015995557901,0.9746589199337042,40.54748566628421,0.2471813690458612,211.91657610186573,0.0,,1.0,54.749300423612,63.66197723675813,2.3255813953488373,0.3255813953488372,0.6046511627906976,33.10422816311423,7427.285067428677,9.45671305787116,148.54570134857354,1.0,1.0,0.0,,0.0,,1.6798265942493305,11.69852212299105,0.0,,2.883117692838844,51.92818119971989,5.007125285872676,64.68015995557901,2.8047964292533263,40.54748566628421,0.2471813690458612,211.91657610186573,0.0,,industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,4,1782.0,0.0,0.0,,,0.0,0.0,
10065,45.7042174,9.6627615,drive,1.0,445.6338406573069,445.6338406573069,2.0,0.3571428571428571,0.2857142857142857,127.32395447351628,967.2752483090744,30.78932741976593,69.09108916493389,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.298999622370236,23.973454295421764,0.1930648498315192,59.29659307699754,0.0,,0.0,,1.0,236.9640263812664,286.4788975654116,2.417910447761194,0.2835820895522388,0.6119402985074627,145.0078370392824,7206.628818977129,25.48823554597151,88.97072616021147,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.5275846634750574,238.31302515215745,5.982638587847397,23.973454295421764,0.425831886788532,59.29659307699754,2.1078262336615468,193.8892999723016,0.038068376657762,159.10932059376972,1.0,115.8647985708998,141.32958946560305,2.43956043956044,0.2637362637362637,0.6373626373626373,73.84789359463944,9998.253162442876,12.730171304695668,90.07435281480068,1.0,1.0,0.0,,0.0,,0.0,,0.0,,2.606717309150447,238.31302515215745,8.029559212954904,23.973454295421764,1.6679095219654403,59.29659307699754,5.932854851519997,193.8892999723016,0.038068376657762,159.10932059376972,grass,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,4,789.0,0.0,0.0,,,0.0,0.0,
10066,44.4762969,8.925601499999999,drive,1.0,190.9859317102744,190.9859317102744,2.0,0.5,0.5,95.4929658551372,1072.5788272574769,34.14124444274711,178.76313787624613,1.0,1.0,0.0,,0.0,,0.0,,0.5914230961232169,38.17995849705504,0.0,,0.0,,0.0537817473343461,102.09393462571076,0.6694892370365061,89.17853435186392,0.0,,1.0,56.58842421045168,56.58842421045168,2.0,0.5,0.5,28.29421210522584,2497.7676284037525,8.834045883452836,156.11047677523453,1.0,1.0,0.0,,0.0,,0.0,,1.073037659736496,38.17995849705504,0.5862727736958662,318.27758452258774,1.3763229215568475,263.6938969125502,1.0479833640544831,102.09393462571076,1.1232013799441811,89.17853435186392,0.0,,1.0,54.749300423612,56.02253996834716,2.046511627906977,0.4418604651162791,0.4883720930232558,26.73803043943842,6424.286611717231,8.179655760751048,146.00651390266432,1.0,1.0,0.0,,0.0,,0.0,,2.0210152403474417,38.17995849705504,2.6487773147648137,318.27758452258774,4.361967028352886,263.6938969125502,3.0212523945623837,102.09393462571076,2.0675606621755365,89.17853435186392,0.0,,forest,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2,620.0,0.0,0.0,,,0.0,0.0,
10067,45.6942647,9.6714285,drive,1.0,413.8028520389278,445.6338406573069,2.1538461538461537,0.3846153846153846,0.4615384615384615,190.9859317102744,1339.3353695907138,42.63236890563453,95.6668121136224,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.2478426277217537,49.15663083500328,0.2218266601423027,56.83838338501798,0.0839962140204514,43.65637014913526,1.0491338718884986,26.557916308892768,0.1154651553209409,137.463580031606,1.0,233.4272498681132,286.4788975654116,2.4545454545454546,0.2575757575757575,0.5909090909090909,137.93428401297595,7625.340257665646,26.96912432811365,94.14000318105737,1.0,1.0,0.0,,0.0,,0.0,,0.4213862918312807,238.339624180184,1.1032815364882642,49.15663083500328,0.6817380528592119,56.83838338501798,1.1383747304991765,43.65637014913526,5.123565187240375,26.557916308892768,0.7350973152028514,137.463580031606,1.0,198.62536897868537,268.65354393911934,2.7051282051282053,0.1602564102564102,0.7115384615384616,141.32958946560305,18593.61953221567,23.674131668177107,88.12141958396053,1.0,1.0,0.0,,0.0,,0.0,,1.7978531849685224,238.339624180184,2.616039813169461,49.15663083500328,2.8330661828877566,56.83838338501798,4.44351665244427,43.65637014913526,10.095147361277112,26.557916308892768,1.0799505243364895,137.463580031606,grass,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,2,1260.0,0.0,0.0,,,0.0,0.0,
10069,45.6504018,13.7731704,drive,1.0,381.9718634205488,413.8028520389278,2.1666666666666665,0.4166666666666667,0.4166666666666667,159.15494309189532,986.4612281445792,31.400036125542336,75.88163293419841,1.0,1.0,0.0,,0.0,,0.3121282389691872,62.50794109903474,0.6160440331339385,53.55458221100667,0.0,,0.5088170426249701,39.96257793127531,0.0164980937191012,129.13971442146823,0.0458246695859212,106.74834487596289,0.0,,1.0,229.89047335495997,286.4788975654116,2.4923076923076923,0.2307692307692307,0.6,137.93428401297595,8500.315840252051,30.063717418187817,104.94217086730929,1.0,1.0,0.0,,0.0,,2.067254484525939,62.50794109903474,1.751845790201071,53.55458221100667,0.2508159269824365,200.12252336434847,3.383515806371598,39.96257793127531,1.2968813359418292,129.13971442146823,2.2752242992129337,106.74834487596289,0.1238375095955039,343.0908288464024,1.0,212.63100397077216,301.7577721022336,2.838323353293413,0.1497005988023952,0.7485029940119761,159.15494309189535,20312.975807406445,25.86328406923856,85.70875868103985,1.0,1.0,0.0,,0.0,,5.393529526111687,62.50794109903474,3.0939569539924108,53.55458221100667,1.1269235359647487,200.12252336434847,8.383410572952837,39.96257793127531,5.035328517116681,129.13971442146823,5.845506468528369,106.74834487596289,0.3518825690014143,343.0908288464024,grass,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4,1419.0,0.0,0.0,,,0.0,0.0,
10072,42.386467,12.9456319,drive,1.0,509.29581789406507,732.1127382227185,2.875,0.125,0.75,381.9718634205488,2078.042663595408,66.14615237341157,90.3496810258873,1.0,1.0,0.0,,0.0,,2.870746199185888,131.63324773534325,0.0,,0.9976386167498922,1.942974232739221,1.2079697693862566,2.1699744902878835,0.0,,0.0,,0.0,,1.0,127.32395447351628,194.52270822342763,3.055555555555556,0.0833333333333333,0.8055555555555556,102.56651888144366,4196.648170157793,14.842606682181565,76.30269400286896,1.0,1.0,0.0,,0.0,,4.449749204591335,131.63324773534325,0.0,,1.3943302711617171,1.942974232739221,3.519170612338743,2.1699744902878835,1.3334792619536884,141.07201018871868,4.651354125733994,173.51327096257427,0.0,,1.0,75.1211331393746,115.8647985708998,3.0847457627118646,0.1016949152542373,0.847457627118644,63.66197723675813,7245.388353729735,9.2251149689323,79.6196522387883,1.0,1.0,0.0,,0.0,,4.449749204591335,131.63324773534325,0.0,,1.8720471960565368,1.942974232739221,4.771904870868401,2.1699744902878835,2.23961176727064,141.07201018871868,5.761520320991403,173.51327096257427,0.0,,orchard,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,2,1291.0,1.0,6697.0,2022-10-27,2022-10-27,5.187451587916344,0.5,6697.0
10073,44.6665608,8.7304467,drive,1.0,190.9859317102744,159.15494309189532,1.6666666666666667,0.6666666666666666,0.3333333333333333,63.66197723675813,568.1970115919481,18.0862726089803,113.63940231838964,1.0,1.0,0.0,,0.0,,0.0,,0.4146096955303652,1.883238688014205,0.0,,0.0837793326580944,61.01929480543769,0.0,,0.0696523048358016,72.68758259339492,0.0,,1.0,45.97809467099199,42.44131815783876,1.8461538461538465,0.6153846153846154,0.3846153846153846,17.683882565766147,1388.465265777981,4.910691341332619,115.70543881483174,1.0,1.0,0.0,,0.0,,0.0,,1.0450118772592207,1.883238688014205,0.0,,0.4282352985679246,61.01929480543769,0.0,,0.255622852040376,72.68758259339492,0.0,,1.0,29.284509528908742,29.284509528908742,2.0,0.5217391304347826,0.4782608695652174,14.00563499208679,3299.52835193717,4.201089976661244,143.45775443205088,1.0,1.0,0.0,,0.0,,0.0,,1.369725938045787,1.883238688014205,0.0,,0.6770311792049093,61.01929480543769,0.0,,3.48663281725758,72.68758259339492,0.0,,forest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2,1154.0,0.0,0.0,,,0.0,0.0,
10076,40.8317732,14.2286619,drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Found no graph nodes within the requested polygon.,2,635.0,0.0,0.0,,,0.0,0.0,
10077,43.98867690000001,10.9559757,drive,1.0,127.32395447351628,95.4929658551372,1.5,0.75,0.25,31.830988618379067,951.0055889717852,30.271448078575773,317.00186299059504,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.3866957678249737,45.901459073357,0.0842962413498694,57.52148986613133,2.198949952710863,19.491585054687384,0.0,,1.0,49.514871184145214,49.514871184145214,2.0,0.5,0.5,24.757435592072607,3697.630069094598,13.077691182702928,264.116433506757,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0910388141466978,45.901459073357,0.0842962413498694,57.52148986613133,2.9313375454506665,19.491585054687384,0.0869750103567835,412.50094976337743,1.0,25.464790894703256,28.01126998417358,2.2,0.35,0.55,14.00563499208679,6484.467546456066,8.256280506699659,294.7485248389121,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,3.237012792907186,45.901459073357,0.0842962413498694,57.52148986613133,4.373586347860563,19.491585054687384,0.0869750103567835,412.50094976337743,cemetery,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,306.0,1.0,45104.0,2025-06-12,2025-06-12,147.3986928104575,1.0,45104.0
10080,45.45462939999999,11.9013956,drive,1.0,732.1127382227185,954.929658551372,2.608695652173913,0.0869565217391304,0.6521739130434783,477.464829275686,1525.3131258807969,48.55222474937584,50.843770862693226,1.0,1.0,0.0,,0.0,,0.0,,0.6551446631158637,15.387956549768964,0.0390817890089173,116.28490587389878,1.1522483563609012,23.90328373580478,0.1560534979874634,53.96612075942402,0.0,,0.0,,1.0,222.81692032865348,290.0156740785648,2.6031746031746037,0.1746031746031746,0.7301587301587301,162.69171960504858,5680.191789802125,20.089568912377963,69.27063158295275,1.0,1.0,0.0,,0.0,,0.0,,1.2131729125591588,15.387956549768964,1.312806347400599,116.28490587389878,3.802724795159019,23.90328373580478,1.6576049833281803,53.96612075942402,0.0814325955466438,333.351527396843,0.0,,1.0,211.35776442603705,278.83946029700064,2.63855421686747,0.180722891566265,0.7530120481927711,159.15494309189535,15835.720608589398,20.1626656982336,72.30922652323926,1.0,1.0,0.0,,0.0,,0.0,,4.085760013347636,15.387956549768964,2.39062207416342,116.28490587389878,12.993537443727812,23.90328373580478,3.94434305002837,53.96612075942402,0.1201806521146681,333.351527396843,0.0,,grass,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,4,2003.0,0.0,0.0,,,0.0,0.0,
