codice_cliente,lit_mode_r100,lit_pct_yes_r100,lit_pct_no_r100,lit_pct_sunset_sunrise_r100,lit_pct_automatic_r100,lit_pct_missing_r100,lit_n_edges_r100,lit_mode_r300,lit_pct_yes_r300,lit_pct_no_r300,lit_pct_sunset_sunrise_r300,lit_pct_automatic_r300,lit_pct_missing_r300,lit_n_edges_r300,lit_mode_r500,lit_pct_yes_r500,lit_pct_no_r500,lit_pct_sunset_sunrise_r500,lit_pct_automatic_r500,lit_pct_missing_r500,lit_n_edges_r500
9500,yes,0.3442622950819672,0.0,0.0,0.0,0.6557377049180327,61,yes,0.13806706114398423,0.0,0.0,0.0,0.8619329388560157,507,yes,0.11678115799803729,0.0,0.0,0.0,0.8832188420019627,1019
9501,unknown,,,,,1.0,20,unknown,,,,,1.0,39,unknown,,,,,1.0,72
9502,yes,0.45161290322580644,0.0,0.0,0.0,0.5483870967741935,31,yes,0.1728395061728395,0.0,0.0,0.0,0.8271604938271605,81,yes,0.12173913043478261,0.0,0.0,0.0,0.8782608695652174,115
9503,unknown,,,,,1.0,9,no,0.0,0.05555555555555555,0.0,0.0,0.9444444444444444,36,no,0.0,0.021739130434782608,0.0,0.0,0.9782608695652174,92
9505,yes,0.45,0.0,0.0,0.0,0.55,80,yes,0.725,0.0,0.0,0.0,0.2653846153846154,520,yes,0.6224758560140474,0.000877963125548727,0.0,0.0,0.3722563652326602,1139
9507,yes,0.18181818181818182,0.0,0.0,0.0,0.8181818181818182,11,yes,0.05660377358490566,0.0,0.0,0.0,0.9433962264150944,53,yes,0.06832298136645963,0.0,0.0,0.0,0.9316770186335404,161
9508,yes,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,7,yes,0.05357142857142857,0.0,0.0,0.0,0.9464285714285714,56,yes,0.05319148936170213,0.010638297872340425,0.0,0.0,0.9361702127659575,94
9509,yes,0.8142857142857143,0.0,0.0,0.0,0.18571428571428572,70,yes,0.6463620981387479,0.001692047377326565,0.0,0.0,0.35194585448392557,591,yes,0.5817711700064642,0.009696186166774402,0.0,0.0,0.40853264382676147,1547
9511,yes,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666,12,yes,0.1,0.0,0.0,0.0,0.9,30,yes,0.08641975308641975,0.0,0.0,0.0,0.9135802469135802,81
9513,yes,0.7428571428571429,0.0,0.0,0.0,0.2571428571428571,35,yes,0.5438066465256798,0.0,0.0,0.0,0.4561933534743202,331,yes,0.5,0.0,0.0,0.0,0.5,1010
9515,unknown,,,,,1.0,19,unknown,,,,,1.0,38,unknown,,,,,1.0,66
9516,yes,0.025,0.0,0.0,0.0,0.975,40,yes,0.029304029304029304,0.0,0.0,0.0,0.9706959706959707,273,yes,0.03650586701434159,0.0,0.0,0.0,0.9634941329856584,767
9521,unknown,,,,,1.0,13,unknown,,,,,1.0,94,unknown,,,,,1.0,223
9522,unknown,,,,,1.0,10,unknown,,,,,1.0,47,unknown,,,,,1.0,96
9525,yes,0.23529411764705882,0.058823529411764705,0.0,0.0,0.7058823529411765,17,yes,0.2,0.06,0.0,0.0,0.74,50,yes,0.11214953271028037,0.04672897196261682,0.0,0.0,0.8411214953271028,107
9527,yes,0.13793103448275862,0.0,0.0,0.0,0.8620689655172413,58,yes,0.08928571428571429,0.0,0.0,0.0,0.9107142857142857,224,yes,0.08465608465608465,0.0,0.0,0.0,0.9153439153439153,378
9532,yes,0.18681318681318682,0.0,0.0,0.0,0.8131868131868132,91,yes,0.17027027027027028,0.0,0.0,0.0,0.8297297297297297,370,yes,0.2734375,0.0,0.0,0.0,0.7265625,896
9533,no,0.0,0.125,0.0,0.0,0.875,8,no,0.0,0.17391304347826086,0.0,0.0,0.8260869565217391,23,no,0.0,0.11764705882352941,0.0,0.0,0.8823529411764706,34
9535,unknown,,,,,1.0,13,unknown,,,,,1.0,31,unknown,,,,,1.0,52
9537,yes,0.358695652173913,0.0,0.0,0.0,0.6413043478260869,92,yes,0.318739054290718,0.0035026269702276708,0.0,0.0,0.6777583187390543,571,yes,0.3998397435897436,0.002403846153846154,0.0,0.0,0.5977564102564102,1248
9538,unknown,,,,,1.0,5,unknown,,,,,1.0,17,unknown,,,,,1.0,18
9540,yes,0.11904761904761904,0.0,0.0,0.0,0.8809523809523809,42,yes,0.041176470588235294,0.0,0.0,0.0,0.9588235294117647,170,yes,0.020527859237536656,0.0,0.0,0.0,0.9794721407624634,341
9541,unknown,,,,,1.0,9,unknown,,,,,1.0,96,yes,0.010256410256410256,0.0,0.0,0.0,0.9897435897435898,195
9543,yes,0.11475409836065574,0.05737704918032787,0.0,0.0,0.8278688524590164,122,yes,0.20711297071129708,0.05230125523012552,0.0,0.0,0.7405857740585774,478,yes,0.1794871794871795,0.03944773175542406,0.0,0.0,0.7810650887573964,1014
9546,yes,0.775,0.0,0.0,0.0,0.225,40,yes,0.660377358490566,0.005390835579514825,0.0,0.0,0.33423180592991913,371,yes,0.5559471365638766,0.0026431718061674008,0.0,0.0,0.44140969162995597,1135
9547,unknown,,,,,1.0,15,unknown,,,,,1.0,92,no,0.013888888888888888,0.020833333333333332,0.0,0.0,0.9652777777777778,144
